country_name,date,predicted_new_confirmed
Chile,2021-11-06,1953.40234375
Chile,2021-11-13,1962.065673828125
Chile,2021-11-02,2000.513671875
Chile,2021-11-09,2101.02587890625
Chile,2021-11-10,2112.15625
Chile,2021-11-03,2059.775146484375
Chile,2021-11-04,2071.015625
Chile,2021-11-05,2017.1572265625
Chile,2021-11-07,1821.6265869140625
Chile,2021-11-08,1911.8974609375
Chile,2021-11-11,2143.9775390625
Chile,2021-11-12,2140.525390625
Chile,2021-11-14,1779.6068115234375
Chile,2021-11-01,1995.0556640625
India,2021-11-07,15532.5771484375
India,2021-11-14,15802.3095703125
India,2021-11-02,17566.546875
India,2021-11-08,16430.7578125
India,2021-11-09,17695.5234375
India,2021-11-13,16527.314453125
India,2021-11-01,16955.451171875
India,2021-11-03,17837.12109375
India,2021-11-06,17225.34765625
India,2021-11-10,17881.755859375
India,2021-11-11,17904.1875
India,2021-11-12,17743.412109375
India,2021-11-05,17946.224609375
India,2021-11-04,18119.357421875
Japan,2021-11-14,1734.85546875
Japan,2021-11-06,1749.7642822265625
Japan,2021-11-07,1710.8345947265625
Japan,2021-11-13,1856.903564453125
Japan,2021-11-01,1617.958251953125
Japan,2021-11-02,1692.3896484375
Japan,2021-11-04,1840.395751953125
Japan,2021-11-10,1848.5396728515625
Japan,2021-11-11,1842.9000244140625
Japan,2021-11-05,1808.02734375
Japan,2021-11-08,1755.8201904296875
Japan,2021-11-12,1912.640869140625
Japan,2021-11-09,1836.3544921875
Japan,2021-11-03,1872.8404541015625
France,2021-11-10,8535.322265625
France,2021-11-06,8609.8203125
France,2021-11-07,7972.15576171875
France,2021-11-14,8065.69873046875
France,2021-11-09,8747.712890625
France,2021-11-13,8630.3681640625
France,2021-11-08,8125.70166015625
France,2021-11-03,9371.4892578125
France,2021-11-02,9417.6982421875
France,2021-11-04,9380.9892578125
France,2021-11-05,9420.4658203125
France,2021-11-12,9464.4208984375
France,2021-11-01,9012.1220703125
France,2021-11-11,9453.7255859375
Turkey,2021-11-01,27172.447265625
Turkey,2021-11-02,24464.150390625
Turkey,2021-11-03,24463.37890625
Turkey,2021-11-05,25608.751953125
Turkey,2021-11-06,24071.78125
Turkey,2021-11-10,26381.513671875
Turkey,2021-11-11,25631.3984375
Turkey,2021-11-14,22902.654296875
Turkey,2021-11-07,22905.6640625
Turkey,2021-11-12,25423.58984375
Turkey,2021-11-13,24123.95703125
Turkey,2021-11-04,28221.806640625
Turkey,2021-11-08,25056.982421875
Turkey,2021-11-09,27470.64453125
Germany,2021-11-06,19033.48828125
Germany,2021-11-07,17942.27734375
Germany,2021-11-14,17461.162109375
Germany,2021-11-13,18979.095703125
Germany,2021-11-02,21343.693359375
Germany,2021-11-03,21575.029296875
Germany,2021-11-08,18513.408203125
Germany,2021-11-09,21242.05078125
Germany,2021-11-10,21970.20703125
Germany,2021-11-11,21006.216796875
Germany,2021-11-04,21603.5078125
Germany,2021-11-05,21464.64453125
Germany,2021-11-12,21332.685546875
Germany,2021-11-01,20941.2578125
Colombia,2021-11-13,1302.9901123046875
Colombia,2021-11-14,1187.137451171875
Colombia,2021-11-06,1349.9029541015625
Colombia,2021-11-07,1231.7958984375
Colombia,2021-11-12,1502.7313232421875
Colombia,2021-11-02,1493.5535888671875
Colombia,2021-11-03,1488.69775390625
Colombia,2021-11-04,1483.6669921875
Colombia,2021-11-05,1480.617919921875
Colombia,2021-11-10,1537.8992919921875
Colombia,2021-11-11,1542.2315673828125
Colombia,2021-11-08,1328.5911865234375
Colombia,2021-11-09,1509.078369140625
Colombia,2021-11-01,1619.999267578125
South Korea,2021-11-01,2291.682373046875
South Korea,2021-11-03,2560.80517578125
South Korea,2021-11-04,2520.18408203125
South Korea,2021-11-05,2454.940185546875
South Korea,2021-11-06,2523.947265625
South Korea,2021-11-07,2436.40478515625
South Korea,2021-11-14,2538.099853515625
South Korea,2021-11-09,2624.316162109375
South Korea,2021-11-10,2767.046875
South Korea,2021-11-11,2717.591064453125
South Korea,2021-11-13,2734.092529296875
South Korea,2021-11-12,2610.872802734375
South Korea,2021-11-08,2452.331787109375
South Korea,2021-11-02,2781.1650390625
South Africa,2021-11-06,384.83773803710938
South Africa,2021-11-07,366.59365844726562
South Africa,2021-11-13,390.07501220703125
South Africa,2021-11-05,427.47018432617188
South Africa,2021-11-09,423.43051147460938
South Africa,2021-11-14,382.58551025390625
South Africa,2021-11-02,460.15292358398438
South Africa,2021-11-10,414.72286987304688
South Africa,2021-11-11,417.54458618164062
South Africa,2021-11-12,415.42050170898438
South Africa,2021-11-03,452.68505859375
South Africa,2021-11-08,394.58978271484375
South Africa,2021-11-04,441.69268798828125
South Africa,2021-11-01,494.99737548828125
United Kingdom,2021-11-07,33104.6796875
United Kingdom,2021-11-14,31207.16015625
United Kingdom,2021-11-13,33238.875
United Kingdom,2021-11-06,36742.40625
United Kingdom,2021-11-02,41873.5859375
United Kingdom,2021-11-04,43517.46875
United Kingdom,2021-11-05,42657.1875
United Kingdom,2021-11-08,34328.27734375
United Kingdom,2021-11-09,38562.25
United Kingdom,2021-11-11,39103.4375
United Kingdom,2021-11-12,38041.69921875
United Kingdom,2021-11-01,39335.29296875
United Kingdom,2021-11-03,42978.67578125
United Kingdom,2021-11-10,39957.9921875
United States of America,2021-11-06,51345.55859375
United States of America,2021-11-07,47510.203125
United States of America,2021-11-13,51105.25
United States of America,2021-11-14,46276.46875
United States of America,2021-11-03,59254.5703125
United States of America,2021-11-05,59019.43359375
United States of America,2021-11-08,48254.1484375
United States of America,2021-11-09,55914.5390625
United States of America,2021-11-10,57365.98828125
United States of America,2021-11-01,55027.0
United States of America,2021-11-02,59095.0078125
United States of America,2021-11-04,60042.07421875
United States of America,2021-11-12,57076.65234375
United States of America,2021-11-11,57769.8515625