user_id,item_id,movie_title,rating
9999,1213,GoodFellas (1990),5
9999,434,Cliffhanger (1993),2
9999,3107,Backdraft (1991),2
9999,902,Breakfast at Tiffany's (1961),5
9999,1968,"Breakfast Club, The (1985)",5
9999,1196,Star Wars: Episode V - The Empire Strikes Back (1980),2
9999,150,Apollo 13 (1995),4
9999,800,Lone Star (1996),4
9999,1722,Tomorrow Never Dies (1997),3
9999,1653,Gattaca (1997),5
9999,1966,Metropolitan (1990),4
9999,296,Pulp Fiction (1994),5
9999,393,Street Fighter (1994),2
9999,3499,Misery (1990),5
9999,2005,"Goonies, The (1985)",3
9999,1968,"Breakfast Club, The (1985)",5
9999,2959,Fight Club (1999),5
9999,3535,American Psycho (2000),5
9999,3160,Magnolia (1999),5
9999,1729,Jackie Brown (1997),3
9999,3527,Predator (1987),4
9999,2402,Rambo: First Blood Part II (1985),3
9999,2404,Rambo III (1988),4
9999,546,Super Mario Bros. (1993),2
9999,2025,Lolita (1997),3
9999,2761,"Iron Giant, The (1999)",5
9999,2888,Drive Me Crazy (1999),4
9999,3438,Teenage Mutant Ninja Turtles (1990),3
9999,480,Jurassic Park (1993),4
9999,1407,Scream (1996),3
9999,1019,"20,000 Leagues Under the Sea (1954)",4
9999,3703,Mad Max 2 (a.k.a. The Road Warrior) (1981),5